type,risk_level,risk_score,size,whale_count,total_amount,description
common_source,HIGH,0.627,39,0,3259449323.64,39 wallets
common_source,MEDIUM,0.567,7,0,297362555.97989,7 wallets
common_source,HIGH,0.627,73,0,506999999377.64996,73 wallets
common_source,MEDIUM,0.487,3,0,189800773.51999998,3 wallets
common_source,MEDIUM,0.547,6,0,6116903229.75,6 wallets
common_source,HIGH,0.627,80,0,627145764184.196,80 wallets
common_source,HIGH,0.607,9,0,3337441190.069096,9 wallets
common_source,HIGH,0.627,11,0,126973409308.44823,11 wallets
common_source,MEDIUM,0.528,5,0,72187439.44073464,5 wallets
common_source,HIGH,0.627,11,0,80910852.11954033,11 wallets
common_source,MEDIUM,0.588,8,0,21270861827.332302,8 wallets
common_source,MEDIUM,0.588,8,0,56106022.371501066,8 wallets
common_source,HIGH,0.627,19,0,1835975558.4393103,19 wallets
common_source,HIGH,0.627,24,0,668562777.9042851,24 wallets
common_source,MEDIUM,0.508,4,0,45110064.43369536,4 wallets
common_source,HIGH,0.627,21,0,23242737642.29469,21 wallets
common_source,MEDIUM,0.487,3,0,58030531465.66118,3 wallets
common_source,HIGH,0.627,29,0,378678924.33374894,29 wallets
common_source,HIGH,0.627,62,0,29144439949.070004,62 wallets
common_source,MEDIUM,0.508,4,0,51880065467.76001,4 wallets
common_source,MEDIUM,0.528,5,0,26650066.67119616,5 wallets
common_source,HIGH,0.627,27,0,11820734571.177233,27 wallets
common_source,MEDIUM,0.547,6,0,8463613.588094259,6 wallets
common_source,HIGH,0.627,15,0,9310899828.878473,15 wallets
common_source,HIGH,0.627,10,0,16966030994.759151,10 wallets
common_source,MEDIUM,0.487,3,0,8611709379.012665,3 wallets
common_source,HIGH,0.627,29,0,21921207030.88203,29 wallets
common_source,MEDIUM,0.528,5,0,16438237.024533905,5 wallets
common_source,HIGH,0.627,56,0,19562656948.5,56 wallets
common_source,HIGH,0.627,16,0,41334325122.83,16 wallets
common_source,HIGH,0.627,22,0,1134942963.7665534,22 wallets
common_source,MEDIUM,0.487,3,0,14599467.994662868,3 wallets
common_source,MEDIUM,0.487,3,0,39807404.288966395,3 wallets
common_source,HIGH,0.627,17,0,60366472536.0,17 wallets
common_source,HIGH,0.627,22,0,2036768855.1640785,22 wallets
common_source,MEDIUM,0.508,4,0,129617192.21160555,4 wallets
common_source,MEDIUM,0.528,5,0,188362243.75741902,5 wallets
common_source,HIGH,0.627,12,0,23728532646.115425,12 wallets
common_source,MEDIUM,0.436,95,0,41.11578625858501,95 wallets
common_source,HIGH,0.627,20,0,530089975.3756496,20 wallets
common_source,MEDIUM,0.588,8,0,72534551.96329674,8 wallets
common_source,HIGH,0.627,15,0,5989002544.3640995,15 wallets
common_source,MEDIUM,0.547,6,0,35367598895.56094,6 wallets
common_source,MEDIUM,0.487,3,0,4743037.934566158,3 wallets
common_source,MEDIUM,0.528,5,0,163188991.37702936,5 wallets
common_source,HIGH,0.627,12,0,51100442.06855694,12 wallets
common_source,MEDIUM,0.487,3,0,3750692024.697438,3 wallets
common_source,HIGH,0.627,12,0,2711615.84717741,12 wallets
common_source,MEDIUM,0.547,6,0,55795513.259391665,6 wallets
common_source,MEDIUM,0.528,5,0,41576217.34073232,5 wallets
common_source,HIGH,0.627,34,0,492896951.37993,34 wallets
common_source,MEDIUM,0.588,8,0,511228365.4680621,8 wallets
common_source,MEDIUM,0.528,5,0,244260.68903843965,5 wallets
common_source,MEDIUM,0.487,3,0,4635609.781466756,3 wallets
common_source,MEDIUM,0.528,5,0,829226263.4547341,5 wallets
