type,risk_level,risk_score,size,whale_count,total_amount,description
common_source,HIGH,0.627,34,0,36082805624.17305,34 wallets
common_source,MEDIUM,0.487,3,0,60659242366.61905,3 wallets
common_source,HIGH,0.627,60,0,21479992762.56,60 wallets
common_source,MEDIUM,0.547,6,0,51911101831.50001,6 wallets
common_source,HIGH,0.607,9,0,10092775682.6,9 wallets
common_source,HIGH,0.627,42,0,3282385887.98,42 wallets
common_source,HIGH,0.627,10,0,313058261.3541864,10 wallets
common_source,MEDIUM,0.487,3,0,4436326.329496009,3 wallets
common_source,MEDIUM,0.487,3,0,7528934.19864347,3 wallets
common_source,HIGH,0.627,78,0,558956134730.22,78 wallets
common_source,MEDIUM,0.508,4,0,236869617.76,4 wallets
common_source,HIGH,0.627,99,0,611319270823.8295,99 wallets
common_source,HIGH,0.627,10,0,3364330829.7666984,10 wallets
common_source,HIGH,0.627,14,0,127240201284.16037,14 wallets
common_source,MEDIUM,0.567,7,0,800016296.063563,7 wallets
common_source,HIGH,0.627,12,0,81853643.1326464,12 wallets
common_source,HIGH,0.607,9,0,23562205744.146103,9 wallets
common_source,HIGH,0.627,10,0,261901086.31243527,10 wallets
common_source,HIGH,0.627,24,0,2276930016.5822096,24 wallets
common_source,HIGH,0.627,26,0,605302872.2503452,26 wallets
common_source,MEDIUM,0.567,7,0,249592824.12138236,7 wallets
common_source,HIGH,0.627,28,0,450176360.2278614,28 wallets
common_source,HIGH,0.627,69,0,31618087916.350002,69 wallets
common_source,HIGH,0.627,32,0,11960983677.66514,32 wallets
common_source,MEDIUM,0.567,7,0,32201608.42883618,7 wallets
common_source,MEDIUM,0.567,7,0,9360031.469743794,7 wallets
common_source,HIGH,0.627,12,0,10202169622.446442,12 wallets
common_source,HIGH,0.627,18,0,9533516325.318808,18 wallets
common_source,MEDIUM,0.487,3,0,8611709379.012665,3 wallets
common_source,HIGH,0.627,35,0,22143234903.254032,35 wallets
common_source,MEDIUM,0.528,5,0,19224622.524759125,5 wallets
common_source,HIGH,0.627,17,0,41334916880.83,17 wallets
common_source,HIGH,0.627,22,0,1134942963.7665534,22 wallets
common_source,MEDIUM,0.508,4,0,14635340.455413217,4 wallets
common_source,MEDIUM,0.487,3,0,25495740.851443794,3 wallets
common_source,HIGH,0.627,17,0,64269713822.0,17 wallets
common_source,HIGH,0.627,28,0,2574192958.694762,28 wallets
common_source,MEDIUM,0.508,4,0,129617192.21160555,4 wallets
common_source,MEDIUM,0.547,6,0,202735274.70524508,6 wallets
common_source,HIGH,0.627,14,0,23736793431.00493,14 wallets
common_source,MEDIUM,0.438,115,0,54.93764358085149,115 wallets
common_source,HIGH,0.627,25,0,594654490.951473,25 wallets
common_source,MEDIUM,0.588,8,0,72534551.96329674,8 wallets
common_source,HIGH,0.627,17,0,4796252212.82898,17 wallets
common_source,MEDIUM,0.588,8,0,35548441644.78429,8 wallets
common_source,MEDIUM,0.508,4,0,2317771357.184478,4 wallets
common_source,MEDIUM,0.508,4,0,10666441.10313496,4 wallets
common_source,MEDIUM,0.588,8,0,184798296.68147966,8 wallets
common_source,HIGH,0.627,13,0,116199163.35857317,13 wallets
